主題,媒體,民國年,時間,金額,執行單位,行政部會,備註
「就業」班隊招募訊息文宣,報紙媒體,102,9/16-9/16,0.0,"人次室
人培處",國防部,"宣導計畫、政策內容：辦理年度「就學」及「就業」等招募班隊訊息文宣
媒體執行細節：蘋果日報體育版D2版
(102.09.16)
預算類別：公務預算
"
「就業」班隊招募訊息文宣,報紙媒體,102,9/16-9/16,0.0,"人次室
人培處",國防部,"宣導計畫、政策內容：辦理年度「就學」及「就業」等招募班隊訊息文宣
媒體執行細節：自由時報體育版B7版
(102.09.16)
預算類別：公務預算
"
「就業」班隊招募訊息文宣,報紙媒體,102,9/16-9/16,0.0,"人次室
人培處",國防部,"宣導計畫、政策內容：辦理年度「就學」及「就業」等招募班隊訊息文宣
媒體執行細節：聯合報考公職專刊
(102.09.16)
預算類別：公務預算
"
專業志願士兵,廣播媒體,102,10/1-10/1,0.0,"人次室
人培處",國防部,"宣導計畫、政策內容：辦理年度「就學」及「就業」等招募班隊訊息文宣
媒體執行細節：102.10.1-10.31 全國中廣音樂網
預算類別：公務預算
"
專業軍士官班,廣播媒體,102,10/1-10/1,0.0,"人次室
人培處",國防部,"宣導計畫、政策內容：辦理年度「就學」及「就業」等招募班隊訊息文宣
媒體執行細節：102.10.1-10.31 全國中廣音樂網
預算類別：公務預算
"
專業志願士兵,廣播媒體,102,10/1-10/1,0.0,"人次室
人培處",國防部,"宣導計畫、政策內容：辦理年度「就學」及「就業」等招募班隊訊息文宣
媒體執行細節：102.10.1-10.31 北、中、南地區好事聯播網
預算類別：公務預算
"
專業軍士官班,廣播媒體,102,10/1-10/1,0.0,"人次室
人培處",國防部,"宣導計畫、政策內容：辦理年度「就學」及「就業」等招募班隊訊息文宣
媒體執行細節：102.10.1-10.31 北、中、南地區好事聯播網
預算類別：公務預算
"
「就業」班隊招募訊息文宣,網路媒體,102,10/1-10/1,0.0,"人次室
人培處",國防部,"宣導計畫、政策內容：辦理年度「就學」及「就業」等招募班隊訊息文宣
媒體執行細節：Google聯播網圖像式廣告(102.10.1-10.31)
預算類別：公務預算
"
「就業」班隊招募訊息文宣,網路媒體,102,10/1-10/1,0.0,"人次室
人培處",國防部,"宣導計畫、政策內容：辦理年度「就學」及「就業」等招募班隊訊息文宣
媒體執行細節：Youtube影音入口網站影音式廣告(102.10.1-10.31)
預算類別：公務預算
"
「就業」班隊招募訊息文宣,網路媒體,102,10/1-10/1,0.0,"人次室
人培處",國防部,"宣導計畫、政策內容：辦理年度「就學」及「就業」等招募班隊訊息文宣
媒體執行細節：Yahoo入口網站圖像式廣告(102.10.1-10.31)
預算類別：公務預算
"
「就業」班隊招募訊息文宣,報紙媒體,102,10/14-10/14,0.0,"人次室
人培處",國防部,"宣導計畫、政策內容：辦理年度「就學」及「就業」等招募班隊訊息文宣
媒體執行細節：蘋果日報體育版D3版
(102.10.14)
預算類別：公務預算
"
「就業」班隊招募訊息文宣,報紙媒體,102,10/14-10/14,0.0,"人次室
人培處",國防部,"宣導計畫、政策內容：辦理年度「就學」及「就業」等招募班隊訊息文宣
媒體執行細節：自由時報體育版B7版
(102.10.14)
預算類別：公務預算
"
「就業」班隊招募訊息文宣,報紙媒體,102,10/14-10/14,0.0,"人次室
人培處",國防部,"宣導計畫、政策內容：辦理年度「就學」及「就業」等招募班隊訊息文宣
媒體執行細節：聯合報考公職專刊
(102.10.14)
預算類別：公務預算
"
